Sr. No.,Symbol,Company Name,"Market Capitalisation 
(In lakhs)"
952,ARSHIYA,Arshiya Limited," 16,731 "
953,VSSL,Vardhman Special Steels Limited," 16,703 "
954,ORBTEXP,Orbit Exports Limited," 16,676 "
955,RAJTV,Raj Television Network Limited," 16,664 "
956,NDTV,New Delhi Television Limited," 16,408 "
957,JISLJALEQS,Jain Irrigation Systems Limited," 16,380 "
958,FCL,Fineotex Chemical Limited," 16,361 "
959,HERCULES,Hercules Hoists Limited," 16,320 "
960,DVL,Dhunseri Ventures Limited," 16,234 "
961,HINDCOMPOS,Hindustan Composites Limited," 16,216 "
962,NIPPOBATRY,Indo-National Limited," 16,183 "
963,UCALFUEL,Ucal Fuel Systems Limited," 16,077 "
964,DCW,DCW Limited," 16,022 "
965,GAYAPROJ,Gayatri Projects Limited," 16,005 "
966,OSIAHYPER,Osia Hyper Retail Limited," 15,955 "
967,INFOBEAN,InfoBeans Technologies Limited," 15,922 "
968,KARDA,Karda Constructions Limited," 15,898 "
969,GALLANTT,Gallantt Metal Limited," 15,858 "
970,PRECWIRE,Precision Wires India Limited," 15,796 "
971,NITINSPIN,Nitin Spinners Limited," 15,770 "
972,THEJO,Thejo Engineering Limited," 15,557 "
973,GULFPETRO,GP Petroleums Limited," 15,550 "
974,JETAIRWAYS,Jet Airways (India) Limited," 15,506 "
975,POKARNA,Pokarna Limited," 15,502 "
976,SPAL,S. P. Apparels Limited," 15,480 "
977,MSPL,MSP Steel & Power Limited," 15,417 "
978,AKASH,Akash Infra-Projects Limited," 15,336 "
979,3RDROCK,3rd Rock Multimedia Limited," 15,316 "
980,ALANKIT,Alankit Limited," 15,297 "
981,KAYA,Kaya Limited," 15,233 "
982,GUJAPOLLO,Gujarat Apollo Industries Limited," 15,194 "
983,VIPULLTD,Vipul Limited," 15,118 "
984,BGRENERGY,BGR Energy Systems Limited," 15,118 "
985,ORICONENT,Oricon Enterprises Limited," 14,998 "
986,CREST,Crest Ventures Limited," 14,908 "
987,ONMOBILE,OnMobile Global Limited," 14,903 "
988,MMP,MMP Industries Limited," 14,873 "
989,AHLEAST,Asian Hotels (East) Limited," 14,871 "
990,KCPSUGIND,KCP Sugar and Industries Corporation Limited," 14,853 "
991,HITECHGEAR,The Hi-Tech Gears Limited," 14,789 "
992,BCG,Brightcom Group Limited," 14,764 "
993,EXPLEOSOL,Expleo Solutions Limited," 14,717 "
994,RAMKY,Ramky Infrastructure Limited," 14,670 "
995,TCPLPACK,TCPL Packaging Limited," 14,460 "
996,MBAPL,Madhya Bharat Agro Products Limited," 14,404 "
997,SANGAMIND,Sangam (India) Limited," 14,389 "
998,CHEMFAB,Chemfab Alkalis Limited," 14,057 "
999,GOKEX,Gokaldas Exports Limited," 13,938 "
1000,ADVANIHOTR,Advani Hotels & Resorts (India) Limited," 13,912 "
