Sr. No.,Symbol,Company Name,"Market Capitalisation 
(In lakhs)"
403,HINDCOPPER,Hindustan Copper Limited," 197,071 "
404,BAJAJCON,Bajaj Consumer Care Limited," 195,409 "
405,INGERRAND,Ingersoll Rand (India) Limited," 194,964 "
406,INDOCO,Indoco Remedies Limited," 193,884 "
407,NETWORK18,Network18 Media & Investments Limited," 192,115 "
408,SEQUENT,Sequent Scientific Limited," 192,066 "
409,WOCKPHARMA,Wockhardt Limited," 191,184 "
410,JUSTDIAL,Just Dial Limited," 190,366 "
411,FSL,Firstsource Solutions Limited," 190,327 "
412,TRITURBINE,Triveni Turbine Limited," 189,134 "
413,BEML,BEML Limited," 188,087 "
414,RAIN,Rain Industries Limited," 187,849 "
415,IRB,IRB Infrastructure Developers Limited," 187,147 "
416,HEG,HEG Limited," 186,802 "
417,MHRIL,Mahindra Holidays & Resorts India Limited," 186,641 "
418,IBREALEST,Indiabulls Real Estate Limited," 185,730 "
419,MMTC,MMTC Limited," 184,500 "
420,GET&D,GE T&D India Limited," 184,097 "
421,UJJIVAN,Ujjivan Financial Services Limited," 180,467 "
422,TATASTLBSL,Tata Steel Bsl Limited," 179,871 "
423,FMGOETZE,Federal-Mogul Goetze (India) Limited.," 179,441 "
424,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited," 178,265 "
425,ELGIEQUIP,Elgi Equipments Limited," 177,548 "
426,DELTACORP,Delta Corp Limited," 177,058 "
427,SCI,Shipping Corporation Of India Limited," 174,675 "
428,LEMONTREE,Lemon Tree Hotels Limited," 174,294 "
429,SONATSOFTW,Sonata Software Limited," 172,672 "
430,VARROC,Varroc Engineering Limited," 172,087 "
431,BSOFT,BIRLASOFT LIMITED," 168,766 "
432,SHOPERSTOP,Shoppers Stop Limited," 168,589 "
433,ESABINDIA,Esab India Limited," 167,184 "
434,VESUVIUS,Vesuvius India Limited," 165,322 "
435,MAXINDIA,Max India Limited," 163,886 "
436,GUJALKALI,Gujarat Alkalies and Chemicals Limited," 163,783 "
437,LAOPALA,La Opala RG Limited," 163,781 "
438,MAHLOG,Mahindra Logistics Limited," 162,019 "
439,WELCORP,Welspun Corp Limited," 161,869 "
440,FAIRCHEM,Fairchem Speciality Limited," 161,524 "
441,KARURVYSYA,Karur Vysya Bank Limited," 161,428 "
442,GREAVESCOT,Greaves Cotton Limited," 160,804 "
443,JSWHL,JSW Holdings Limited," 160,384 "
444,ADVENZYMES,Advanced Enzyme Technologies Limited," 159,139 "
445,SUPRAJIT,Suprajit Engineering Limited," 157,496 "
446,SCHNEIDER,Schneider Electric Infrastructure Limited," 157,091 "
447,GRSE,Garden Reach Shipbuilders & Engineers Limited," 156,478 "
448,RCF,Rashtriya Chemicals and Fertilizers Limited," 156,404 "
449,DHANUKA,Dhanuka Agritech Limited," 154,725 "
450,PRSMJOHNSN,Prism Johnson Limited," 152,265 "
451,NILKAMAL,Nilkamal Limited," 148,882 "
452,KSB,Ksb Limited," 147,951 "
453,NAVNETEDUL,Navneet Education Limited," 147,736 "
454,PAPERPROD,Huhtamaki PPL Limited," 147,721 "
455,JINDALSAW,Jindal Saw Limited," 146,447 "
456,EQUITAS,Equitas Holdings Limited," 145,767 "
457,GSFC,Gujarat State Fertilizers & Chemicals Limited," 145,644 "
458,DEN,Den Networks Limited," 144,599 "
459,TCI,Transport Corporation of India Limited," 144,472 "
460,RAYMOND,Raymond Limited," 144,194 "
461,ALLCARGO,Allcargo Logistics Limited," 143,609 "
462,ORIENTREF,Orient Refractories Limited," 140,743 "
463,FCONSUMER,Future Consumer Limited," 140,237 "
464,VRLLOG,VRL Logistics Limited," 139,490 "
465,DBCORP,D.B.Corp Limited," 139,258 "
466,BALMLAWRIE,Balmer Lawrie & Company Limited," 135,863 "
467,ECLERX,eClerx Services Limited," 135,137 "
468,JAGRAN,Jagran Prakashan Limited," 135,016 "
469,BSE,BSE Limited," 133,632 "
470,JKPAPER,JK Paper Limited," 132,791 "
471,MINDACORP,Minda Corporation Limited," 131,107 "
472,KTKBANK,The Karnataka Bank Limited," 130,720 "
473,MAHSEAMLES,Maharashtra Seamless Limited," 129,711 "
474,ACCELYA,Accelya Solutions India Limited," 127,321 "
475,SOBHA,Sobha Limited," 126,951 "
